Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
red elements papers,2,2,90,1,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,2,0.06,0.00,0,206000000,"[41,41,29,41,29,41,41,100,41,64,64,52]",2025-08-25,"Image pack, Video, Image, People also ask, Related searches","commercial, informational",People also ask
hemp grinder,3,3,210,10,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,2,0.06,0.00,0,3090000,"[28,53,53,53,53,53,53,53,53,28,43,66]",2025-09-08,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
ceramic grinder,7,7,320,6,1.07,https://munchmakers.com/blog/revolutionizing-weed-grinders-the-power-of-ceramic-coating/,2,0.06,2.00,0.59,17900000,"[54,54,54,54,66,66,66,54,18,66,54,66]",2025-08-28,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
brand grinder,1,1,70,51,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,2,0.06,0.00,0.06,52400000,"[42,33,0,42,0,66,33,33,14,33,42,33]",2025-08-26,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
unique grinders for weed,7,7,90,8,0.00,https://munchmakers.com/blog/top-cool-weed-grinders-enhance-your-herb-experience/,2,0.06,0.00,0,9470000,"[52,33,42,33,42,52,52,23,23,33,52,52]",2025-09-02,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
weed grinder wholesale,7,7,70,4,0.00,https://munchmakers.com/,2,0.06,0.00,0,414000,"[65,3,0,100,0,7,65,11,7,3,7,7]",2025-08-26,Image,commercial,Organic
job papers 1.5,2,2,90,0,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,2,0.06,0.00,0,133000000,"[35,64,64,64,78,78,78,78,64,64,78,64]",2025-09-01,"Image pack, Sitelinks, Video, Image, People also ask, FAQ, Popular products",commercial,People also ask
custom stash,4,4,40,1,0.00,https://www.munchmakers.com/product-category/custom-weed-stash-jars/,2,0.06,0.00,0.13,11500000,"[5,6,6,6,5,2,2,2,2,6,23,2]",2025-08-26,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
unique grinders weed,9,9,110,8,0.00,https://munchmakers.com/blog/top-cool-weed-grinders-enhance-your-herb-experience/,2,0.06,0.00,0,21400000,"[65,53,42,42,34,53,34,42,15,34,80,53]",2025-08-24,"Image pack, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
foldable rolling tray,5,5,110,1,0.00,https://munchmakers.com/product/custom-folded-rolling-tray,2,0.06,0.00,0,81,"[64,64,82,82,52,64,64,52,64,64,52,82]",2025-08-19,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
3 in grinder,1,1,110,4,0.42,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,2,0.06,0.00,1,152000000,"[52,66,52,52,80,100,33,52,42,52,66,52]",2025-09-04,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches",transactional,People also ask
what is cigarette paper made of,1,1,140,6,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,2,0.06,0.00,0,91500000,"[66,80,52,52,52,80,52,52,100,100,66,42]",2025-08-18,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
cigarettes rolling machine near me,4,4,140,25,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-choosing-the-best-rolling-machine-for-your-smoking-experience/,2,0.06,0.00,0,7340000,"[43,0,22,29,18,35,18,22,8,18,35,66]",2025-09-10,"Local pack, Image pack, Video, Image, People also ask, Popular products, Related searches",transactional,People also ask
munchmakers shop,2,2,90,18,0.00,https://munchmakers.com/,2,0.06,0.00,0,68700,"[45,81,100,100]",2025-10-25,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
munchmakers shop,10,10,90,18,0.00,http://www.munchmakers.com/,2,0.06,0.00,0,68700,"[45,81,100,100]",2025-10-25,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Knowledge panel
customize rolling tray,5,5,170,17,0.00,https://munchmakers.com/blog/roll-in-style-the-ultimate-guide-to-customizing-your-rolling-tray/,2,0.06,0.00,0,8460000,"[4,5,3,3,3,4,2,3,3,7,10,3]",2025-11-17,"Knowledge panel, Sitelinks, Video, Image, Popular products, Things to know",informational,Things to know
best joint roller,8,8,210,11,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-joint-rollers-for-perfect-blunts-every-time,2,0.06,0.00,0,64500000,"[29,23,23,7,29,36,29,23,23,29,23,15]",2025-08-31,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Discussions and forums",commercial,People also ask
best rolling papers for health,2,2,90,2,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,2,0.06,0.00,0,59900000,"[15,21,28,21,34,28,28,28,34,34,43,53]",2025-10-24,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
how to make weed grinder,1,1,110,11,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,2,0.06,0.00,0,11200000,"[43,28,21,34,21,43,34,34,12,34,28,53]",2025-08-25,"Image pack, Sitelinks, People also ask, Discussions and forums",,People also ask
kief collector grinder,6,6,480,13,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,2,0.06,0.00,0,88,"[100,81,54,81,36,54,19,81,29,29,29,44]",2025-09-09,"Image pack, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
bud grinders,1,1,50,51,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,2,0.06,0.00,0,1640000,"[55,55,55,44,55,55,44,44,55,55,44,44]",2025-09-06,"Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
where to buy a tobacco grinder,1,1,110,27,0.00,https://munchmakers.com/blog/4-piece-grinder-vs-2-piece-grinder-what-grinder-should-you-get-it/,2,0.06,0.00,0,5180000,"[23,12,9,19,12,23,15,15,6,12,12,23]",2025-08-21,"Local pack, Sitelinks, Image, People also ask, Popular products, Related searches, Discussions and forums",transactional,People also ask
auto blunt rolling machine,1,1,70,18,0.00,https://munchmakers.com/blog/master-the-art-of-rolling-the-ultimate-guide-to-joint-rollers-for-effortless-enjoyment/,2,0.06,0.00,0,1170000,"[11,11,11,11,11,11,11,64,23,52,100,100]",2025-09-06,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
where can i find a tobacco grinder,1,1,140,28,0.00,https://www.munchmakers.com/5-tips-for-choosing-the-perfect-weed-grinder/,2,0.06,0.00,0,5420000,"[14,14,14,11,14,14,14,14,14,14,14,14]",2025-08-25,"Local pack, Image pack, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
custom lighters no minimum,11,11,110,8,1.20,https://munchmakers.com/product-category/custom-lighters/,2,0.06,2.00,1,87,"[52,52,66,80,23,42,52,66,52,52,66,52]",2025-08-27,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
zigzag paper,2,2,140,26,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,2,0.06,0.00,0,41400000,"[0,0,0,1,0,1,0,2,5,4,3,7]",2025-08-27,"Image pack, Sitelinks, Video, Image, People also ask, FAQ, Popular products, Related searches","informational, transactional",People also ask
weed crusher electric,17,17,1900,11,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-electric-weed-crushers-and-grinders/,2,0.06,0.00,0,609000,"[0,0,0,0,0,0,0,1,66,66,100,0]",2025-09-26,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches","informational, transactional",Organic
wokit grinder,7,7,260,25,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,2,0.06,0.00,0,93,"[44,36,44,44,44,36,29,19,15,19,12,15]",2025-09-01,"Image pack, Sitelinks, Video, Image, People also ask, Related searches","commercial, informational",People also ask
sharper grinder,5,5,70,0,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-sharper-weed-grinders-cc806a/,2,0.06,0.00,0,3270000,"[26,26,26,19,26,34,19,26,19,26,26,34]",2025-09-07,"Image pack, Video, Image, Related searches",commercial,Organic
orange zig zag papers,2,2,140,7,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,2,0.06,0.00,0,2000000,"[42,65,42,53,53,53,53,53,53,65,65,42]",2025-08-25,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
best cannabis grinder 2024,6,6,70,6,0.00,https://munchmakers.com/blog/ultimate-2024-guide-discover-the-best-weed-grinders-for-a-perfect-cannabis-experience/,2,0.06,0.00,0,1340000,"[78,100,100,78,78,28,14,14,14,14,14,14]",2025-08-27,"Image pack, Sitelinks, Image, Popular products, Related searches",commercial,Organic
how to make a tobacco grinder,1,1,140,4,0.00,https://munchmakers.com/blog/your-guide-to-tobacco-grinding-04bb77/,2,0.06,0.00,0,10,"[34,34,28,53,43,53,21,34,65,65,21,34]",2025-11-18,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",informational,People also ask
chromium crusher grinders,3,3,40,0,0.56,https://munchmakers.com/blog/your-ultimate-guide-to-chromium-crushers-for-epic-herb-grinding/,2,0.06,1.00,0.22,10,"[100,4,0,14,9,23,9,9,14,9,14,14]",2025-11-06,"Image pack, Sitelinks, Video, Image, Related searches",,Organic
can u smoke the warning raw paper,1,1,40,21,0.00,https://www.munchmakers.com/everything-you-need-to-know-about-raw-rolling-papers-features-benefits-and-buying-tips/,2,0.06,0.00,0,64,"[0,0,0,0,63,0,0,63,100,81,81,81]",2025-09-06,"Sitelinks, Video, People also ask, Related searches",,People also ask
custom 510 battery,4,4,70,11,0.00,https://munchmakers.com/product-category/custom-vape-pen/,2,0.06,0.00,0,10,"[29,23,29,100,29,17,29,23,23,29,100,41]",2025-11-20,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
glow in the dark ashtray,1,1,110,11,0.21,https://munchmakers.com/product/custom-glow-in-dark-ashtray,2,0.06,0.00,0.94,849000,"[42,65,42,53,42,42,53,42,42,26,53,34]",2025-11-17,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Image pack
grinder box,1,1,70,0,0.65,https://munchmakers.com/product/custom-grinder-box,2,0.06,1.00,1,75700000,"[15,0,9,15,12,15,15,15,15,21,34,65]",2025-08-24,"Image pack, Sitelinks, Video, Image, People also ask, Related searches","commercial, informational",Image pack
unique gifts for cigarette smokers,6,6,110,5,0.00,https://munchmakers.com/blog/gifts-for-smokers-ultimate-guide-with-50-perfect-presents-for-every-type-of-smoker/,2,0.06,0.00,0.95,7480000,"[3,3,3,15,54,100,8,6,5,5,6,6]",2025-09-03,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums, AI overview",informational,Organic
girly rolling tray,6,6,70,2,0.00,https://munchmakers.com/blog/rolling-in-style-the-ultimate-guide-to-cute-and-girly-weed-rolling-tray-sets/,2,0.06,0.00,0,58,"[12,12,9,9,15,12,12,9,9,6,9,9]",2025-09-09,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
customized ashtray,5,5,70,6,0.74,https://munchmakers.com/product-category/custom-ashtrays/,2,0.06,1.00,1,10,"[2,2,2,4,2,2,1,2,2,3,2,2]",2025-11-17,"Image pack, Video, Image, Ads bottom, People also ask, Popular products, Related searches","informational, transactional",Organic
unique grinders,9,9,110,2,0.00,https://munchmakers.com/,2,0.06,0.00,0,11000000,"[80,66,52,52,42,66,42,52,66,42,80,52]",2025-09-02,"Image pack, Sitelinks, Image, Related searches",commercial,Organic
automatic backwood rolling machine,2,2,70,13,0.00,https://munchmakers.com/blog/roll-with-ease-the-ultimate-guide-to-choosing-your-perfect-joint-roller/,2,0.06,0.00,0,71,"[100,42,33,23,19,19,23,19,23,23,19,14]",2025-09-01,"Image pack, Image, People also ask, Related searches",commercial,People also ask
humidity controlled stash box,11,11,140,9,0.00,https://munchmakers.com/blog/the-ultimate-weed-storage-box-for-discreet-and-safe-keeping-4c2d3d/,2,0.06,0.00,1,149000,"[100,100,0,2,2,2,2,2,2,2,2,2]",2025-09-08,"Image pack, Video, Image, Related searches",commercial,Organic
two piece grinder,4,4,140,2,0.00,https://munchmakers.com/blog/4-piece-grinder-vs-2-piece-grinder-what-grinder-should-you-get-it/,2,0.06,0.00,0,33500000,"[29,35,29,29,22,29,22,29,14,14,18,100]",2025-09-02,"Image pack, Video, Image, People also ask, Related searches",commercial,People also ask
randy's wired papers,2,2,90,2,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,2,0.06,0.00,0,88,"[9,9,52,42,42,42,42,66,0,52,66,52]",2025-08-17,"Image pack, Video, People also ask, Related searches","commercial, informational",People also ask
grinder 2 piece,6,6,210,3,0.00,https://munchmakers.com/blog/4-piece-grinder-vs-2-piece-grinder-what-grinder-should-you-get-it/,2,0.06,0.00,0,27100000,"[8,6,16,6,5,8,5,6,3,5,8,100]",2025-08-30,"Image pack, Video, Image, People also ask, Related searches","informational, transactional",People also ask
best weed grinders 2025,4,4,170,16,0.00,https://de.munchmakers.com/blog/top-5-awesome-weed-grinders-to-elevate-your-herb-game/,2,0.06,0.00,0,6360000,"[0,0,0,54,14,81,43,100]",2025-11-10,"Image pack, Sitelinks, Video, Image, People also ask, Popular products",commercial,People also ask
electric grinder weed,2,2,170,12,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,2,0.06,0.00,0,8640000,"[8,8,8,8,13,13,10,8,8,8,10,8]",2025-09-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums","informational, transactional",People also ask
mortar and pestle for grinding weed,1,1,70,20,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,2,0.06,0.00,0,81400,"[6,6,6,6,6,6,6,6,34,34,100,21]",2025-08-29,"Image pack, People also ask, Discussions and forums, AI overview",commercial,People also ask
grinders online,5,5,70,48,0.00,https://www.munchmakers.com/how-to-sell-cannabis-accessories-in-california-a-munchmakers-guide/,1,0.03,0.00,0.04,26300000,"[7,7,7,53,15,3,34,7,19,15,100,19]",2025-08-26,"Image pack, Sitelinks, Video, People also ask, Related searches",transactional,People also ask
best rolling machine tobacco,1,1,260,17,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-choosing-the-best-rolling-machine-for-your-smoking-experience/,1,0.03,0.00,0,4790000,"[19,15,15,19,19,29,12,15,100,54,19,19]",2025-10-07,"Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview",commercial,People also ask
electric grinder with kief catcher,6,6,140,3,0.00,https://munchmakers.com/blog/electric-weed-grinders-revolutionizing-cannabis-preparation/,1,0.03,0.00,0,84,"[43,34,34,28,43,65,53,21,53,53,100,43]",2025-08-29,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
powermatic 2 plus electric cigarette injector machine,2,2,50,30,0.00,https://pt.munchmakers.com/blog/roll-your-own-the-ultimate-guide-to-choosing-the-best-cigarette-rolling-machine-d7cea0/,1,0.03,0.00,0.07,73,"[35,35,35,78,35,100,35,21,14,14,14,14]",2025-09-07,"Knowledge panel, Image pack, Video, Image, People also ask, Related searches",informational,People also ask
case a joint,7,7,90,15,0.00,https://munchmakers.com/product/custom-square-joint-case,1,0.03,0.00,0,10,"[41,64,82,41,41,64,41,29,82,29,52,41]",2025-11-14,"Image pack, Image, People also ask, Related searches, AI overview","commercial, informational",Organic
ez wider double wide,2,2,70,6,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,1,0.03,0.00,0,3610000,"[0,52,41,41,64,52,52,41,41,29,52,41]",2025-11-19,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
dallas cowboys weed grinder,3,3,70,19,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,1,0.03,0.00,0.02,11900,"[45,18,100,100,18,100,18,18,100,100,36,63]",2025-11-20,"Image pack, Video, Image, People also ask",commercial,People also ask
dallas cowboys weed grinder,3,3,70,19,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,1,0.03,0.00,0.02,11900,"[45,18,100,100,18,100,18,18,100,100,36,63]",2025-11-20,"Image pack, Video, Image, People also ask",commercial,People also ask
dallas cowboys weed grinder,3,3,70,19,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,1,0.03,0.00,0.02,11900,"[45,18,100,100,18,100,18,18,100,100,36,63]",2025-11-20,"Image pack, Video, Image, People also ask",commercial,People also ask
can you use the warning paper to roll,5,5,50,21,0.00,https://munchmakers.com/blog/everything-you-need-to-know-about-raw-rolling-papers-features-benefits-and-buying-tips/,1,0.03,0.00,0,70,"[18,18,18,18,81,100,63,63,27,45,18,45]",2025-09-01,"Image pack, Sitelinks, Video, People also ask, FAQ, Related searches, AI overview",informational,Organic
מאפרה עם מכסה,5,5,40,0,0.00,https://www.munchmakers.com/iw/%D7%9E%D7%95%D7%A6%D7%A8/%D7%9E%D7%90%D7%A4%D7%A8%D7%94-%D7%A7%D7%A8%D7%9E%D7%99%D7%AA-%D7%91%D7%94%D7%AA%D7%90%D7%9E%D7%94-%D7%90%D7%99%D7%A9%D7%99%D7%AA-%D7%A2%D7%9D-%D7%9E%D7%9B%D7%A1%D7%94/,1,0.03,0.00,0,53,"[28,28,28,28,28,28,28,71,57,100,100,100]",2025-09-04,Image pack,informational,Organic
rolling paper machine,2,2,50,10,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-choosing-the-best-rolling-machine-for-your-smoking-experience/,1,0.03,0.00,0,160000000,"[50,7,50,35,7,28,64,35,35,64,64,50]",2025-09-10,"Image pack, Video, Image, People also ask, Popular products, Related searches","commercial, informational",People also ask
funny grinders,8,8,70,1,0.00,https://munchmakers.com/de/blog/get-your-grind-on-the-ultimate-guide-to-funny-herb-grinders-smell-proof-options-d57fa0/,1,0.03,0.00,0.23,79,"[26,26,26,26,26,26,26,26,26,19,26,19]",2025-08-19,"Image pack, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
custom weed jars,10,10,110,5,0.69,https://www.munchmakers.com/product-category/custom-weed-stash-jars/,1,0.03,0.00,0.84,1900000,"[34,53,42,42,53,42,42,19,53,34,34,42]",2025-09-06,"Image pack, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
best grinders for weed 2024,6,6,40,12,0.00,https://munchmakers.com/blog/ultimate-2024-guide-discover-the-best-weed-grinders-for-a-perfect-cannabis-experience/,1,0.03,0.00,0,7320000,"[18,100,27,18,45,100,45,18,18,18,18,18]",2025-09-01,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
best papers to smoke,1,1,50,17,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,1,0.03,0.00,0,115000000,"[23,17,10,28,28,17,7,0,2,7,7,7]",2025-09-09,"Image pack, Sitelinks, People also ask, Popular products, Related searches, Discussions and forums, AI overview",commercial,People also ask
customized rolling papers,10,10,50,14,0.00,https://munchmakers.com/product-category/custom-rolling-papers/,1,0.03,0.00,0,24500000,"[29,52,29,52,29,41,41,29,29,11,17,52]",2025-08-30,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
nude grinder,3,3,90,4,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,1,0.03,0.00,0,1900000,"[22,18,14,18,14,22,18,18,29,22,18,4]",2025-09-10,"Sitelinks, People also ask",informational,People also ask
ongrok grinder,3,3,320,9,0.53,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,1,0.03,0.00,0.29,10,"[66,54,66,100,54,66,54,66,81,66,81,81]",2025-11-19,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",navigational,People also ask
miller grinder,1,1,40,7,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,1,0.03,0.00,0.9,19000000,"[44,22,44,44,33,44,55,33,77,44,44,44]",2025-08-29,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
roll tray personalized,6,6,70,2,0.00,https://munchmakers.com/product-category/custom-rolling-trays/,1,0.03,0.00,0,31900000,"[9,45,45,63,100,100]",2025-08-29,"Knowledge panel, Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
electric tobacco grinder,20,20,880,26,0.00,https://munchmakers.com/product/custom-electric-weed-grinder,1,0.03,0.00,0,1390000,"[24,13,41,20,8,7,20,36,30,54,79,79]",2025-09-29,"Image pack, Video, Image, Video Carousel, Popular products, Related searches","informational, transactional",Organic
joint roller machine for weed,4,4,90,18,0.00,https://munchmakers.com/blog/roll-with-ease-the-ultimate-guide-to-choosing-your-perfect-joint-roller/,1,0.03,0.00,0,2220000,"[6,6,6,6,6,6,34,34,6,34,53,100]",2025-08-28,"Image pack, Image, People also ask, Related searches, Discussions and forums",commercial,People also ask
ashtrays,6,6,4400,32,0.37,https://munchmakers.com/blog/ultimate-guide-to-ashtrays-features-benefits-and-buying-tips-for-smokers/,1,0.03,0.00,1,5900000,"[36,36,29,24,19,19,10,10,13,13,29,29]",2025-09-25,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know","commercial, informational",Things to know
customized rolling tray set,8,8,50,0,0.00,https://munchmakers.com/product-category/custom-rolling-trays/,1,0.03,0.00,0,1650000,"[22,2,4,8,35,14,14,22,6,6,6,4]",2025-08-29,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
best rolling papers 2025,1,1,50,2,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,1,0.03,0.00,0,264000000,"[0,36,27,36,45,100]",2025-08-31,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",commercial,People also ask
4 inch weed grinder,10,10,140,6,0.56,https://munchmakers.com/product/custom-big-grinder,1,0.03,0.00,0.99,3810000,"[42,53,34,65,34,80,100,34,42,53,42,53]",2025-09-05,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
pipe engraving,6,6,40,0,0.00,https://munchmakers.com/product/custom-aluminum-pipe,1,0.03,0.00,0,10100000,"[35,35,35,35,35,50,14,14,14,14,14,78]",2025-09-05,"Image pack, Video, Image, Related searches",commercial,Organic
best kief grinders,8,8,70,14,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-the-best-grinder-for-kief-collection-99fca0/,1,0.03,0.00,0,72300,"[6,6,6,6,21,43,28,34,43,28,34,21]",2025-08-16,"Image pack, Sitelinks, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
rolling machine tobacco,7,7,110,16,0.00,https://munchmakers.com/blog/roll-like-a-pro-the-ultimate-guide-to-choosing-the-best-rolling-machine-for-your-smoking-experience/,1,0.03,0.00,0,30300000,"[20,10,6,8,10,8,10,8,6,8,13,3]",2025-09-07,"Image pack, Video, Image, People also ask, Related searches",transactional,People also ask
custom torch lighter,14,14,390,12,0.60,https://munchmakers.com/product/custom-compact-torch-lighter,1,0.03,0.00,1,97,"[54,44,44,44,81,100,54,44,36,36,36,36]",2025-09-10,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
grinder with best kief catcher,2,2,50,0,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-choosing-the-best-grinder-for-kief-collection-30031c/,1,0.03,0.00,0,10,"[64,64,35,50,35,35,21,50,35,35,50,35]",2025-11-17,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview",commercial,People also ask
grinder with best kief catcher,4,4,50,0,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-weed-grinders-with-kief-catchers-2/,1,0.03,0.00,0,10,"[64,64,35,50,35,35,21,50,35,35,50,35]",2025-11-17,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview",commercial,Organic
novelty grinders,6,6,40,0,0.00,https://munchmakers.com/blog/grind-with-a-smile-your-ultimate-guide-to-funny-herb-grinders/,1,0.03,0.00,0,3580000,"[23,29,23,29,23,100,11,11,11,11,11,11]",2025-09-02,"Related searches, Discussions and forums",commercial,Organic
auto weed grinder,4,4,170,13,0.53,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,1,0.03,0.00,0.02,10,"[13,16,6,4,10,8,6,5,45,2,5,4]",2025-11-17,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
herb grinder with kief catcher,1,1,70,6,0.00,https://munchmakers.com/blog/the-ultimate-guide-to-choosing-the-best-grinder-for-kief-collection-30031c/,1,0.03,0.00,0,68,"[10,12,4,12,3,5,2,2,2,3,4,23]",2025-08-25,"Image pack, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
keychain herb grinder,6,6,50,3,0.00,https://munchmakers.com/product/custom-mini-grinder-keychain,1,0.03,0.00,0,172000,"[35,35,35,35,35,50,21,35,50,35,35,35]",2025-10-28,"Image pack, Video, Image, People also ask, Related searches",transactional,Organic
custom weed tray,9,9,210,5,0.00,https://munchmakers.com/product-category/custom-rolling-trays/,1,0.03,0.00,0,90,"[10,13,10,13,16,24,13,10,10,16,13,10]",2025-09-05,"Knowledge panel, Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
best herb grinder brands,5,5,90,34,0.00,https://munchmakers.com/blog/zinc-vs-aluminum-which-grinder-is-best-for-your-dispensary/,1,0.03,0.00,0,1500000,"[52,42,33,42,52,100,42,33,42,33,33,52]",2025-08-21,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches",commercial,People also ask
grinder cards,5,5,140,12,0.00,https://munchmakers.com/es/blog/grinder-cards-101-the-ultimate-guide-to-convenient-and-compact-herb-grinding-d06e84/,1,0.03,0.00,0,27600000,"[13,13,16,5,4,4,4,1,2,2,8,5]",2025-09-07,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
best preroll cones,1,1,50,3,0.00,https://munchmakers.com/blog/healthiest-rolling-papers-2025-top-brands-for-a-better-smoking-experience/,1,0.03,0.00,0,347000,"[100,100,71,100,71,71,57,57,57,42,42,71]",2025-08-24,"Image pack, Sitelinks, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,People also ask
cute grinders for weed,8,8,320,24,0.00,https://munchmakers.com/blog/grind-in-style-the-ultimate-guide-to-pretty-and-customizable-weed-grinders/,1,0.03,0.00,0,449000,"[26,26,26,32,32,39,39,32,39,39,26,48]",2025-10-03,"Image pack, Video, Image, People also ask, Related searches, Discussions and forums",commercial,Organic
